method,window_idx,drift_detected,detection_latency,false_positive,false_negative,p_value,statistic,cpu_time_ms
ADWIN,0,False,0.00022759998682886362,False,False,,,0.22030004765838385
DDM,0,False,0.0005834000185132027,False,False,,,0.5745000671595335
KSWIN,0,False,0.1242169999750331,False,False,,,124.20820002444088
PageHinkley,0,False,0.000534099992364645,False,False,,,0.5259999306872487
KS_Test,0,True,0.12581740005407482,True,False,,,125.62990002334118
PSI,0,True,0.009712800034321845,True,False,,2.31601810871175,9.704299969598651
ADWIN,1,False,0.00031759997364133596,False,False,,,0.2940000267699361
DDM,1,False,0.00034490006510168314,False,False,,,0.3394000232219696
KSWIN,1,False,0.11566819995641708,False,False,,,115.6619000248611
PageHinkley,1,False,0.0005068000173196197,False,False,,,0.49970007967203856
KS_Test,1,True,0.17653130006510764,True,False,,,176.30549997556955
PSI,1,True,0.013707199948839843,True,False,,3.2816541540999613,13.697599992156029
ADWIN,2,False,0.00019719998817890882,False,False,,,0.19139994401484728
DDM,2,False,0.0005378000205382705,False,False,,,0.5321999778971076
KSWIN,2,False,0.11662420001812279,False,False,,,116.61909997928888
PageHinkley,2,False,0.000354300020262599,False,False,,,0.3499999875202775
KS_Test,2,True,0.123702900018543,True,False,,,123.47979994956404
PSI,2,True,0.01575250003952533,True,False,,3.5524844684433856,15.74659999459982
ADWIN,3,False,0.00015820004045963287,False,False,,,0.15350000467151403
DDM,3,False,0.00042669998947530985,False,False,,,0.42230007238686085
KSWIN,3,False,0.07769349997397512,False,False,,,77.6889999397099
PageHinkley,3,False,0.0002906000008806586,False,False,,,0.2872999757528305
KS_Test,3,True,0.15830200002528727,True,False,,,158.02650002297014
PSI,3,True,0.01819390000309795,True,False,,3.8488813166832623,18.184599932283163
ADWIN,4,False,0.00025150005239993334,False,False,,,0.2443999983370304
DDM,4,False,0.0007320999866351485,False,False,,,0.7235999219119549
KSWIN,4,False,0.1612869999371469,False,False,,,161.27969999797642
PageHinkley,4,False,0.00034099991898983717,False,False,,,0.3364000003784895
KS_Test,4,True,0.08140459994319826,True,False,,,81.26509992871433
PSI,4,True,0.011755299987271428,True,False,,3.5026827527659576,11.747999931685627
ADWIN,5,False,0.00016580009832978249,False,False,,,0.16080006025731564
DDM,5,False,0.0005311999702826142,False,False,,,0.5259000463411212
